Document ID,Docket ID,Title,Petition Date,Response Date,FDA Center,Petitioner,"Type of Document (Petition, Interim Response, Final Response)",Response Type,Mined_Response_Type,Document_Role,is_scanned
FDA-2007-P-0181-0005,FDA-2007-P-0181,Charles E. Weber - Citizen Petition,2/23/07,,CDER,Charles E. Weber,Petition,Response received,Response received,Correspondence,False
FDA-2007-P-0181-0004,FDA-2007-P-0181,FDA/CDER Interim Response to Charles E. Weber - Letter,,8/26/07,CDER,Charles E. Weber,Interim Response,Response received,Response received,Interim FDA Response,False
FDA-2007-P-0181-0014,FDA-2007-P-0181,FDA/CDER Final response to Charles E. Weber,,2/6/12,CDER,Charles E. Weber,Final Response,Response received,Response received,Initial Petition,False
FDA-2007-P-0182-0003,FDA-2007-P-0182,sanofi aventis - Citizen Petition,5/16/07,,CDER,Sanofi Aventis,Petition,Partially approved or denied,Partially approved or denied,Correspondence,False
FDA-2007-P-0182-0002,FDA-2007-P-0182,FDA Center for Drug and Evaluation Research Response to Sanofi Aventis - Letter,,11/28/07,CDER,Sanofi Aventis,Interim Response,Partially approved or denied,Partially approved or denied,Interim FDA Response,False
FDA-2007-P-0182-0017,FDA-2007-P-0182,FDA/CDER to sanofi-aventis U.S. LLC - Petition Partial Approval and Denial,,10/13/10,CDER,Sanofi Aventis,Final Response,Partially approved or denied,Partially approved or denied,Initial Petition,False
FDA-2007-P-0183-0002,FDA-2007-P-0183,Purdue Pharma L.P. and Rhodes Technologies - Petition for Stay,10/15/07,,,Purdue Pharma L.P. and Rhodes Technologies,Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0183-0005,FDA-2007-P-0183,"FDA Letter to Purdue Pharma L.P. & Rhodes Technologies, Inc. - Petition Denial",,3/24/08,CDER,Purdue Pharma L.P. and Rhodes Technologies,Final Response,Denied,Denied,Initial Petition,False
FDA-2007-P-0183-0006,FDA-2007-P-0183,Petition for Reconsideration - Philip C. Strassburger,4/1/08,,CDER,Purdue Pharma L.P. and Rhodes Technologies,Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0184-0002,FDA-2007-P-0184,Judy Slome Cohain - Citizen Petition,12/12/07,,CDRH,Judy Slome Cohain,Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0184-0005,FDA-2007-P-0184,FDA Response to Judy Slome Cohain - Citizen Petition Denial,,8/11/08,CDRH,Judy Slome Cohain,Final Response,Denied,Denied,Initial Petition,False
FDA-2007-P-0185-0002,FDA-2007-P-0185,"Lupin Pharmaceuticals, Inc. - Citizen Petition",10/18/07,,CDER,"Lupin Pharmaceuticals, Inc.",Petition,Approved,Approved,Other Document,False
FDA-2007-P-0185-0004,FDA-2007-P-0185,"FDA/CDER  to Lupin Pharmaceuticals, Inc. - Petition Approval",,9/2/10,CDER,"Lupin Pharmaceuticals, Inc.",Final Response,Approved,Approved,Initial Petition,False
FDA-2007-P-0186-0006,FDA-2007-P-0186,Perdue Pharma L.P. - Citizen Petition,3/13/07,,CDER,Purdue Pharma L.P.,Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0186-0007,FDA-2007-P-0186,Purdue Pharma L.P. - Petition for Stay,5/2/07,,CDER,Purdue Pharma L.P.,Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0186-0005,FDA-2007-P-0186,"FDA/CDER Interim Response to Kleinfeld Kaplan and Becker, LLP - Letter",,9/7/07,CDER,Purdue Pharma L.P.,Interim Response,Denied,Denied,Interim FDA Response,False
FDA-2007-P-0186-0008,FDA-2007-P-0186,"FDA/CDER Response to Kleinfeld Kaplan and Becker, LLP - Petition Denial",,2/18/09,CDER,Purdue Pharma L.P.,Final Response,Denied,Denied,Initial Petition,True
FDA-2007-P-0187-0003,FDA-2007-P-0187,Alston & Bird LLP - Citizen Petition,12/10/07,,CDER,Synthetic Organic Chemical Manufacturers Association,Petition,Partially approved or denied,Partially approved or denied,Other Document,False
FDA-2007-P-0187-0004,FDA-2007-P-0187,FDA to Alston & Bird LLP on behalf of Synthetic Organic Chemical Manufacturers Association - Petition Partial Approval and Denial,,10/13/09,CDER,Synthetic Organic Chemical Manufacturers Association,Final Response,Partially approved or denied,Partially approved or denied,Other Document,False
FDA-2007-P-0188-0002,FDA-2007-P-0188,"Citizen Petition from Beckloff Associates, Inc.",12/27/07,,CDER,"Beckloff Associates, Inc.",Petition,Denied,Denied,Correspondence,True
FDA-2007-P-0188-0003,FDA-2007-P-0188,"Interim Response Letter from FDA CDER to Beckloff Associates, Inc.",,6/25/08,CDER,"Beckloff Associates, Inc.",Interim Response,Denied,Denied,Initial Petition,True
FDA-2007-P-0188-0006,FDA-2007-P-0188,Citizen Petition Denial Response Letter from FDA CDER to Beckloff Associates Inc,,5/6/15,CDER,"Beckloff Associates, Inc.",Final Response,Denied,Denied,Interim FDA Response,False
FDA-2007-P-0189-0004,FDA-2007-P-0189,"Acorda Therapeutics, Inc. - Citizen Petition",4/12/07,,CDER,"Acorda Therapeutics, Inc.",Petition,Withdrawn,Withdrawn,Other Document,False
